time,ava
2012-04-03T00:00:00Z,4.95
2012-04-04T00:00:00Z,4.935
2012-04-05T00:00:00Z,4.965
2012-04-06T00:00:00Z,4.9
2012-04-07T00:00:00Z,4.82
2012-04-08T00:00:00Z,4.745
2012-04-09T00:00:00Z,4.775
2012-04-10T00:00:00Z,4.81
2012-04-11T00:00:00Z,4.85
2012-04-12T00:00:00Z,4.83
2012-04-13T00:00:00Z,4.88
2012-04-14T00:00:00Z,4.975
2012-04-15T00:00:00Z,4.955
2012-04-16T00:00:00Z,4.955
2012-04-17T00:00:00Z,4.97
2012-04-18T00:00:00Z,5.08
2012-04-19T00:00:00Z,5.12
2012-04-20T00:00:00Z,5.235
2012-04-21T00:00:00Z,5.31
2012-04-22T00:00:00Z,5.21
2012-04-23T00:00:00Z,5.125
2012-04-24T00:00:00Z,5.065
2012-04-25T00:00:00Z,5
2012-04-26T00:00:00Z,4.99
2012-04-27T00:00:00Z,5.035
2012-04-28T00:00:00Z,4.96
2012-04-29T00:00:00Z,4.885
2012-04-30T00:00:00Z,4.945
2012-05-01T00:00:00Z,4.95
2012-05-02T00:00:00Z,5.08
2012-05-03T00:00:00Z,5.09
2012-05-04T00:00:00Z,5.11
2012-05-05T00:00:00Z,5.075
2012-05-06T00:00:00Z,5.06
2012-05-07T00:00:00Z,5.025
2012-05-08T00:00:00Z,5.035
2012-05-09T00:00:00Z,5.045
2012-05-10T00:00:00Z,4.955
2012-05-11T00:00:00Z,4.92
2012-05-12T00:00:00Z,4.94
2012-05-13T00:00:00Z,4.945
2012-05-14T00:00:00Z,4.935
2012-05-15T00:00:00Z,4.955
2012-05-16T00:00:00Z,5.01
2012-05-17T00:00:00Z,5.02
2012-05-18T00:00:00Z,5.05
2012-05-19T00:00:00Z,5.065
2012-05-20T00:00:00Z,5.055
2012-05-21T00:00:00Z,5.05
2012-05-22T00:00:00Z,5.035
2012-05-23T00:00:00Z,5.06
2012-05-24T00:00:00Z,5.08
2012-05-25T00:00:00Z,5.09
2012-05-26T00:00:00Z,5.075
2012-05-27T00:00:00Z,5.04
2012-05-28T00:00:00Z,5.075
2012-05-29T00:00:00Z,5.035
2012-05-30T00:00:00Z,5.105
2012-05-31T00:00:00Z,5.135
2012-06-01T00:00:00Z,5.2
2012-06-02T00:00:00Z,5.19
2012-06-03T00:00:00Z,5.195
2012-06-04T00:00:00Z,5.19
2012-06-05T00:00:00Z,5.355
2012-06-06T00:00:00Z,5.43
2012-06-07T00:00:00Z,5.465
2012-06-08T00:00:00Z,5.545
2012-06-09T00:00:00Z,5.545
2012-06-10T00:00:00Z,5.48
2012-06-11T00:00:00Z,5.485
2012-06-12T00:00:00Z,5.715
2012-06-13T00:00:00Z,5.855
2012-06-14T00:00:00Z,5.85
2012-06-15T00:00:00Z,5.99
2012-06-16T00:00:00Z,6.32
2012-06-17T00:00:00Z,6.3
2012-06-18T00:00:00Z,6.16
2012-06-19T00:00:00Z,6.31
2012-06-20T00:00:00Z,6.455
2012-06-21T00:00:00Z,6.665
2012-06-22T00:00:00Z,6.575
2012-06-23T00:00:00Z,6.47
2012-06-24T00:00:00Z,6.4
2012-06-25T00:00:00Z,6.23
2012-06-26T00:00:00Z,6.315
2012-06-27T00:00:00Z,6.51
2012-06-28T00:00:00Z,6.265
2012-06-29T00:00:00Z,6.56
2012-06-30T00:00:00Z,6.555
2012-07-01T00:00:00Z,6.57
2012-07-02T00:00:00Z,6.58
2012-07-03T00:00:00Z,6.53
2012-07-04T00:00:00Z,6.455
2012-07-05T00:00:00Z,6.59
2012-07-06T00:00:00Z,6.495
2012-07-07T00:00:00Z,6.675
2012-07-08T00:00:00Z,6.625
2012-07-09T00:00:00Z,6.77
2012-07-10T00:00:00Z,7.04
2012-07-11T00:00:00Z,7.095
2012-07-12T00:00:00Z,7.345
2012-07-13T00:00:00Z,7.575
2012-07-14T00:00:00Z,7.51
2012-07-15T00:00:00Z,7.485
2012-07-16T00:00:00Z,7.72
2012-07-17T00:00:00Z,8.25
2012-07-18T00:00:00Z,8.755
2012-07-19T00:00:00Z,8.98
2012-07-20T00:00:00Z,8.345
2012-07-21T00:00:00Z,8.555
2012-07-22T00:00:00Z,8.55
2012-07-23T00:00:00Z,8.49
2012-07-24T00:00:00Z,8.525
2012-07-25T00:00:00Z,8.44
2012-07-26T00:00:00Z,8.64
2012-07-27T00:00:00Z,8.835
2012-07-28T00:00:00Z,8.89
2012-07-29T00:00:00Z,8.745
2012-07-30T00:00:00Z,8.77
2012-07-31T00:00:00Z,9.1
2012-08-01T00:00:00Z,9.2
2012-08-02T00:00:00Z,9.96
2012-08-03T00:00:00Z,11.05
2012-08-04T00:00:00Z,10.85
2012-08-05T00:00:00Z,10.61
2012-08-06T00:00:00Z,10.71
2012-08-07T00:00:00Z,10.795
2012-08-08T00:00:00Z,10.87
2012-08-09T00:00:00Z,11.64
2012-08-10T00:00:00Z,11.2
2012-08-11T00:00:00Z,11.325
2012-08-12T00:00:00Z,11.515
2012-08-13T00:00:00Z,11.69
2012-08-14T00:00:00Z,12.055
2012-08-15T00:00:00Z,12.665
2012-08-16T00:00:00Z,13.125
2012-08-17T00:00:00Z,13.955
2012-08-18T00:00:00Z,12.05
2012-08-19T00:00:00Z,9.48
2012-08-20T00:00:00Z,9.095
2012-08-21T00:00:00Z,10.02
2012-08-22T00:00:00Z,10.23
2012-08-23T00:00:00Z,9.985
2012-08-24T00:00:00Z,10.17
2012-08-25T00:00:00Z,10.36
2012-08-26T00:00:00Z,10.41
2012-08-27T00:00:00Z,11.12
2012-08-28T00:00:00Z,10.92
2012-08-29T00:00:00Z,10.77
2012-08-30T00:00:00Z,10.71
2012-08-31T00:00:00Z,10.245
2012-09-01T00:00:00Z,10.025
2012-09-02T00:00:00Z,9.835
2012-09-03T00:00:00Z,10.25
2012-09-04T00:00:00Z,10.32
2012-09-05T00:00:00Z,10.555
2012-09-06T00:00:00Z,10.915
2012-09-07T00:00:00Z,10.965
2012-09-08T00:00:00Z,10.705
2012-09-09T00:00:00Z,10.94
2012-09-10T00:00:00Z,10.91
2012-09-11T00:00:00Z,10.71
2012-09-12T00:00:00Z,10.945
2012-09-13T00:00:00Z,11.2
2012-09-14T00:00:00Z,11.375
2012-09-15T00:00:00Z,11.5
2012-09-16T00:00:00Z,11.665
2012-09-17T00:00:00Z,11.73
2012-09-18T00:00:00Z,11.975
2012-09-19T00:00:00Z,12.2
2012-09-20T00:00:00Z,12.47
2012-09-21T00:00:00Z,12.18
2012-09-22T00:00:00Z,12.11
2012-09-23T00:00:00Z,11.95
2012-09-24T00:00:00Z,11.84
2012-09-25T00:00:00Z,11.87
2012-09-26T00:00:00Z,11.865
2012-09-27T00:00:00Z,12.11
2012-09-28T00:00:00Z,11.905
2012-09-29T00:00:00Z,12.2
2012-09-30T00:00:00Z,12.225
2012-10-01T00:00:00Z,11.935
2012-10-02T00:00:00Z,12.42
2012-10-03T00:00:00Z,12.72
2012-10-04T00:00:00Z,12.705
2012-10-05T00:00:00Z,12.1
2012-10-06T00:00:00Z,12.33
2012-10-07T00:00:00Z,11.985
2012-10-08T00:00:00Z,11.205
2012-10-09T00:00:00Z,11.89
2012-10-10T00:00:00Z,12.02
2012-10-11T00:00:00Z,11.855
2012-10-12T00:00:00Z,11.955
2012-10-13T00:00:00Z,11.905
2012-10-14T00:00:00Z,11.845
2012-10-15T00:00:00Z,11.435
2012-10-16T00:00:00Z,11.555
2012-10-17T00:00:00Z,11.56
2012-10-18T00:00:00Z,11.725
2012-10-19T00:00:00Z,11.67
2012-10-20T00:00:00Z,11.615
2012-10-21T00:00:00Z,11.485
2012-10-22T00:00:00Z,11.42
2012-10-23T00:00:00Z,11.475
2012-10-24T00:00:00Z,11.315
2012-10-25T00:00:00Z,10.895
2012-10-26T00:00:00Z,10.26
2012-10-27T00:00:00Z,10.125
2012-10-28T00:00:00Z,10.525
2012-10-29T00:00:00Z,10.56
2012-10-30T00:00:00Z,10.62
2012-10-31T00:00:00Z,10.83
2012-11-01T00:00:00Z,10.84
2012-11-02T00:00:00Z,10.705
2012-11-03T00:00:00Z,10.55
2012-11-04T00:00:00Z,10.54
2012-11-05T00:00:00Z,10.65
2012-11-06T00:00:00Z,10.655
2012-11-07T00:00:00Z,10.645
2012-11-08T00:00:00Z,10.54
2012-11-09T00:00:00Z,10.725
2012-11-10T00:00:00Z,10.75
2012-11-11T00:00:00Z,10.745
2012-11-12T00:00:00Z,10.82
2012-11-13T00:00:00Z,10.875
2012-11-14T00:00:00Z,10.86
2012-11-15T00:00:00Z,10.93
2012-11-16T00:00:00Z,11.28
2012-11-17T00:00:00Z,11.55
2012-11-18T00:00:00Z,11.485
2012-11-19T00:00:00Z,11.34
2012-11-20T00:00:00Z,11.565
2012-11-21T00:00:00Z,11.505
2012-11-22T00:00:00Z,11.835
2012-11-23T00:00:00Z,11.91
2012-11-24T00:00:00Z,12.175
2012-11-25T00:00:00Z,12.275
2012-11-26T00:00:00Z,12.255
2012-11-27T00:00:00Z,11.99
2012-11-28T00:00:00Z,12.335
2012-11-29T00:00:00Z,12.255
2012-11-30T00:00:00Z,12.325
2012-12-01T00:00:00Z,12.385
2012-12-02T00:00:00Z,12.35
2012-12-03T00:00:00Z,12.46
2012-12-04T00:00:00Z,12.715
2012-12-05T00:00:00Z,13.03
2012-12-06T00:00:00Z,13.305
2012-12-07T00:00:00Z,13.295
2012-12-08T00:00:00Z,13.335
2012-12-09T00:00:00Z,13.23
2012-12-10T00:00:00Z,13.215
2012-12-11T00:00:00Z,13.27
2012-12-12T00:00:00Z,13.36
2012-12-13T00:00:00Z,13.285
2012-12-14T00:00:00Z,13.66
2012-12-15T00:00:00Z,13.425
2012-12-16T00:00:00Z,13.355
2012-12-17T00:00:00Z,13.07
2012-12-18T00:00:00Z,13.185
2012-12-19T00:00:00Z,13.2
2012-12-20T00:00:00Z,13.29
2012-12-21T00:00:00Z,13.305
2012-12-22T00:00:00Z,13.24
2012-12-23T00:00:00Z,13.165
2012-12-24T00:00:00Z,13.125
2012-12-25T00:00:00Z,13.17
2012-12-26T00:00:00Z,13.1
2012-12-27T00:00:00Z,13.08
2012-12-28T00:00:00Z,13.15
2012-12-29T00:00:00Z,13.195
2012-12-30T00:00:00Z,13.195
2012-12-31T00:00:00Z,13.17
2013-01-01T00:00:00Z,13.005
2013-01-02T00:00:00Z,13.085
2013-01-03T00:00:00Z,13.11
2013-01-04T00:00:00Z,13.04
2013-01-05T00:00:00Z,13.11
2013-01-06T00:00:00Z,13.105
2013-01-07T00:00:00Z,13.12
2013-01-08T00:00:00Z,13.275
2013-01-09T00:00:00Z,13.415
2013-01-10T00:00:00Z,13.845
2013-01-11T00:00:00Z,13.975
2013-01-12T00:00:00Z,13.955
2013-01-13T00:00:00Z,13.785
2013-01-14T00:00:00Z,13.8
2013-01-15T00:00:00Z,14.1
2013-01-16T00:00:00Z,14.33
2013-01-17T00:00:00Z,14.96
2013-01-18T00:00:00Z,15.435
2013-01-19T00:00:00Z,15.485
2013-01-20T00:00:00Z,15.535
2013-01-21T00:00:00Z,16.215
2013-01-22T00:00:00Z,17.025
2013-01-23T00:00:00Z,17.23
2013-01-24T00:00:00Z,17.6
2013-01-25T00:00:00Z,16.92
2013-01-26T00:00:00Z,17.08
2013-01-27T00:00:00Z,17.34
2013-01-28T00:00:00Z,18.11
2013-01-29T00:00:00Z,19.19
2013-01-30T00:00:00Z,19.16
2013-01-31T00:00:00Z,20.135
2013-02-01T00:00:00Z,20.47
2013-02-02T00:00:00Z,20.015
2013-02-03T00:00:00Z,20.08
2013-02-04T00:00:00Z,20.3
2013-02-05T00:00:00Z,20.385
2013-02-06T00:00:00Z,20.66
2013-02-07T00:00:00Z,21.43
2013-02-08T00:00:00Z,22.22
2013-02-09T00:00:00Z,22.87
2013-02-10T00:00:00Z,23.325
2013-02-11T00:00:00Z,23.55
2013-02-12T00:00:00Z,24.86
2013-02-13T00:00:00Z,25.485
2013-02-14T00:00:00Z,24.96
2013-02-15T00:00:00Z,27.14
2013-02-16T00:00:00Z,27.145
2013-02-17T00:00:00Z,26.375
2013-02-18T00:00:00Z,26.645
2013-02-19T00:00:00Z,28.1
2013-02-20T00:00:00Z,29.64
2013-02-21T00:00:00Z,29.87
2013-02-22T00:00:00Z,30.695
2013-02-23T00:00:00Z,29.055
2013-02-24T00:00:00Z,29.725
2013-02-25T00:00:00Z,30.135
2013-02-26T00:00:00Z,30.925
2013-02-27T00:00:00Z,31.11
2013-02-28T00:00:00Z,32.865
2013-03-01T00:00:00Z,34
2013-03-02T00:00:00Z,34.185
2013-03-03T00:00:00Z,34.125
2013-03-04T00:00:00Z,35.62
2013-03-05T00:00:00Z,38.765
2013-03-06T00:00:00Z,44.915
2013-03-07T00:00:00Z,39.5
2013-03-08T00:00:00Z,42.465
2013-03-09T00:00:00Z,44
2013-03-10T00:00:00Z,46
2013-03-11T00:00:00Z,46.99
2013-03-12T00:00:00Z,42.125
2013-03-13T00:00:00Z,45.645
2013-03-14T00:00:00Z,47.385
2013-03-15T00:00:00Z,47.095
2013-03-16T00:00:00Z,46.79
2013-03-17T00:00:00Z,46.97
2013-03-18T00:00:00Z,49.04
2013-03-19T00:00:00Z,54
2013-03-20T00:00:00Z,63.425
2013-03-21T00:00:00Z,70.76
2013-03-22T00:00:00Z,69.735
2013-03-23T00:00:00Z,61.045
2013-03-24T00:00:00Z,67.18
2013-03-25T00:00:00Z,74.625
2013-03-26T00:00:00Z,80.15
2013-03-27T00:00:00Z,84.37
2013-03-28T00:00:00Z,88.5
2013-03-29T00:00:00Z,89
2013-03-30T00:00:00Z,92.155
2013-03-31T00:00:00Z,94.135
2013-04-01T00:00:00Z,100.1
2013-04-02T00:00:00Z,108.05
2013-04-03T00:00:00Z,134.205
2013-04-04T00:00:00Z,134.5
2013-04-05T00:00:00Z,135.545
2013-04-06T00:00:00Z,144.265
2013-04-07T00:00:00Z,152.875
2013-04-08T00:00:00Z,180
2013-04-09T00:00:00Z,199.815
2013-04-10T00:00:00Z,164.67
2013-04-11T00:00:00Z,114.5
2013-04-12T00:00:00Z,78.5
2013-04-13T00:00:00Z,102
2013-04-14T00:00:00Z,90.965
2013-04-15T00:00:00Z,79.9
2013-04-16T00:00:00Z,65.9
2013-04-17T00:00:00Z,80.56
2013-04-18T00:00:00Z,95.075
2013-04-19T00:00:00Z,120.1
